tumor_id,closest_fetal_sample,distance,stage,tissue,mean_TPM
105,74,25.49440706266941,,,
106,52,23.106099673771034,,,
107,32,20.65295521809658,,,
108,40,25.66341297096982,,,
109,40,21.342159306054427,,,
110,32,23.007612385877987,,,
111,36,23.952472485667776,,,
112,79,23.827488662596053,,,
113,83,23.047495888504265,,,
114,52,27.372935639104323,,,
115,79,24.183211864156213,,,
116,105,22.190782982071465,,,
117,40,35.32091070859583,,,
118,105,21.235127917060947,,,
119,101,24.43816369588782,,,
120,40,23.47095730337269,,,
121,9,27.599801224482118,,,
122,32,30.88137039326959,,,
123,79,24.46088831857101,,,
124,32,22.434809353591362,,,
125,33,20.679846566893456,,,
126,83,25.065181214711554,,,
127,74,28.726796466677982,,,
128,79,27.43037986273585,,,
129,32,36.78772517336982,,,
130,105,26.83179202429392,,,
131,52,24.509924303990736,,,
132,44,27.070661590924924,,,
133,79,25.278202008495537,,,
134,101,24.273228176252804,,,
135,33,24.83801633696431,,,
136,105,22.213172641081787,,,
137,32,22.373697858989043,,,
138,102,28.505417226731996,,,
139,32,23.204441754071574,,,
140,40,23.764281059464825,,,
141,32,21.525438183612266,,,
142,32,23.365701043330905,,,
143,51,29.507433784544432,,,
144,40,21.756666672670832,,,
145,33,25.546561498425,,,
146,83,22.912064448473224,,,
147,84,21.745216343809886,,,
148,33,23.815692764625826,,,
149,105,25.59902105690538,,,
150,79,20.992214193958038,,,
151,84,22.252486041210457,,,
152,84,23.61323941080313,,,
153,50,22.490150685486533,,,
154,74,25.320093722327464,,,
155,32,23.471297482770712,,,
156,105,24.79409540695133,,,
157,84,25.79368828221647,,,
158,113,23.096056841696885,,,
159,101,21.627289549970563,,,
160,83,26.409856410718547,,,
161,32,24.575319625858786,,,
162,79,23.84255608853254,,,
163,52,27.086040663365218,,,
164,83,24.663446189452916,,,
165,33,24.115860624109576,,,
166,40,23.916495249104507,,,
167,33,23.444112720704137,,,
168,84,21.196459113017077,,,
169,106,26.713012512125072,,,
170,79,22.755379466175622,,,
171,84,22.248135956336498,,,
172,9,25.957327797476736,,,
173,52,22.278054381581214,,,
174,40,24.001191259045257,,,
175,32,27.616711245577306,,,
176,79,26.770410109168832,,,
177,79,22.886908871792002,,,
178,32,28.309919800645403,,,
179,79,23.08635762765408,,,
180,32,27.657540321975645,,,
181,36,22.226001836230566,,,
182,32,23.95948584273277,,,
183,105,22.485181023591934,,,
184,84,24.734456933224248,,,
185,83,24.964841880033227,,,
186,44,29.009834405810466,,,
187,79,22.039306729408978,,,
188,79,22.968548624100386,,,
